date_sick_year,date_sick_biweek,province,cases,date_delivered_year,date_delivered_biweek
1968,6,26,0,1968,0
1968,6,30,1.23977275126763,1968,0
1968,6,31,0,1968,0
1968,6,32,0,1968,0
1968,6,33,0,1968,0
1968,6,34,1.08650690024712,1968,0
1968,6,35,0,1968,0
1968,6,36,0.639053254440195,1968,0
1968,6,40,0,1968,0
1968,6,41,0.639053254440195,1968,0
1968,6,42,0,1968,0
1968,6,43,0,1968,0
1968,6,44,0,1968,0
1968,6,45,0.639053254440195,1968,0
1968,6,46,0,1968,0
1968,6,47,0,1968,0
1968,6,48,0,1968,0
1968,6,50,0,1968,0
1968,6,51,0,1968,0
1968,6,52,0,1968,0
1968,6,53,0,1968,0
1968,6,54,2.04424119597001,1968,0
1968,6,55,0,1968,0
1968,6,56,0,1968,0
1968,6,57,0,1968,0
1968,6,58,0,1968,0
1968,6,60,0,1968,0
1968,6,61,0,1968,0
1968,6,62,0,1968,0
1968,6,63,0,1968,0
1968,6,64,0,1968,0
1968,6,65,0,1968,0
1968,6,66,0,1968,0
1968,6,67,0,1968,0
1968,6,70,0,1968,0
1968,6,71,0,1968,0
1968,6,72,0.516107949853673,1968,0
1968,6,73,0.926276516133444,1968,0
1968,6,74,0,1968,0
1968,6,75,0,1968,0
1968,6,76,0,1968,0
1968,6,77,0,1968,0
1968,6,80,2.02940021942991,1968,0
1968,6,81,0,1968,0
1968,6,82,0,1968,0
1968,6,83,0,1968,0
1968,6,84,0,1968,0
1968,6,85,0,1968,0
1968,6,86,0,1968,0
1968,6,90,0,1968,0
1968,6,91,0,1968,0
1968,6,92,0,1968,0
1968,6,93,0,1968,0
1968,6,94,0,1968,0
1968,6,95,0,1968,0
1968,6,96,0,1968,0
1968,7,10,11.2701058960753,1968,0
1968,7,11,0.135184342284487,1968,0
1968,7,12,0,1968,0
1968,7,13,0,1968,0
1968,7,14,1.59117298776121,1968,0
1968,7,15,0.0122894856621998,1968,0
1968,7,16,0.734017060757742,1968,0
1968,7,17,1.79248221195253,1968,0
1968,7,18,0.159763313608886,1968,0
1968,7,19,0,1968,0
1968,7,20,0.489365495252889,1968,0
1968,7,21,0,1968,0
1968,7,22,0.0245789713243993,1968,0
1968,7,23,0,1968,0
1968,7,24,0,1968,0
1968,7,25,0,1968,0
1968,7,26,0,1968,0
1968,7,30,0.454674670834522,1968,0
1968,7,31,0.0122894856621997,1968,0
1968,7,32,0,1968,0
1968,7,33,0,1968,0
1968,7,34,0.196676527402593,1968,0
1968,7,35,0,1968,0
1968,7,36,0.135184342284487,1968,0
1968,7,40,0,1968,0
1968,7,41,0.135184342284487,1968,0
1968,7,42,0,1968,0
1968,7,43,0,1968,0
1968,7,44,0,1968,0
1968,7,45,0.135184342284487,1968,0
1968,7,46,0,1968,0
1968,7,47,0,1968,0
1968,7,48,0,1968,0
1968,7,50,0,1968,0
1968,7,51,0,1968,0
1968,7,52,0,1968,0
1968,7,53,0,1968,0
1968,7,54,1.24710044623955,1968,0
1968,7,55,0,1968,0
1968,7,56,0,1968,0
1968,7,57,0,1968,0
1968,7,58,0,1968,0
1968,7,60,1.89959655982781,1968,0
1968,7,61,0.0122894856621997,1968,0
1968,7,62,0,1968,0
1968,7,63,0,1968,0
1968,7,64,0,1968,0
1968,7,65,0,1968,0
1968,7,66,0,1968,0
1968,7,67,0,1968,0
1968,7,70,0.0122894856621996,1968,0
1968,7,71,0,1968,0
1968,7,72,0.0878976866744541,1968,0
1968,7,73,1.40171258157088,1968,0
1968,7,74,0,1968,0
1968,7,75,0,1968,0
1968,7,76,0,1968,0
1968,7,77,1.79921677701092,1968,0
1968,7,80,0.338117062088333,1968,0
1968,7,81,0,1968,0
1968,7,82,0,1968,0
1968,7,83,0.135184342284487,1968,0
1968,7,84,0,1968,0
1968,7,85,0.135184342284487,1968,0
1968,7,86,0,1968,0
1968,7,90,0,1968,0
1968,7,91,0,1968,0
1968,7,92,0,1968,0
1968,7,93,0,1968,0
1968,7,94,0,1968,0
1968,7,95,0,1968,0
1968,7,96,0,1968,0
1968,8,10,6.61930301045133,1968,0
1968,8,11,0.639053254440195,1968,0
1968,8,12,0,1968,0
1968,8,13,0,1968,0
1968,8,14,0.324032016709184,1968,0
1968,8,15,0.319526627221114,1968,0
1968,8,16,0.915883808830574,1968,0
1968,8,17,0.959719928193612,1968,0
1968,8,18,0.639053254442229,1968,0
1968,8,19,0,1968,0
1968,8,20,0.568166239390036,1968,0
1968,8,21,0,1968,0
1968,8,22,0.639053254442229,1968,0
1968,8,23,0,1968,0
1968,8,24,0,1968,0
1968,8,25,0,1968,0
1968,8,26,0,1968,0
1968,8,30,0.920246124050579,1968,0
1968,8,31,0.319526627221114,1968,0
1968,8,32,0,1968,0
1968,8,33,0,1968,0
1968,8,34,0,1968,0
1968,8,35,0,1968,0
1968,8,36,0,1968,0
1968,8,40,0,1968,0
1968,8,41,0,1968,0
1968,8,42,0,1968,0
1968,8,43,0,1968,0
1968,8,44,0,1968,0
1968,8,45,0,1968,0
1968,8,46,0,1968,0
1968,8,47,0,1968,0
1968,8,48,0,1968,0
1968,8,50,0,1968,0
1968,8,51,0,1968,0
1968,8,52,0,1968,0
1968,8,53,0,1968,0
1968,8,54,0.326747451895093,1968,0
1968,8,55,0,1968,0
1968,8,56,0,1968,0
1968,8,57,0,1968,0
1968,8,58,0,1968,0
1968,8,60,10.4028563810562,1968,0
1968,8,61,0.319526627221114,1968,0
1968,8,62,0,1968,0
1968,8,63,0,1968,0
1968,8,64,0,1968,0
1968,8,65,0,1968,0
1968,8,66,0,1968,0
1968,8,67,0,1968,0
1968,8,70,0.319526627221115,1968,0
1968,8,71,0,1968,0
1968,8,72,0,1968,0
1968,8,73,1.85406743113136,1968,0
1968,8,74,0,1968,0
1968,8,75,0,1968,0
1968,8,76,0,1968,0
1968,8,77,13.0176085907242,1968,0
1968,8,80,0,1968,0
1968,8,81,0,1968,0
1968,8,82,0,1968,0
1968,8,83,0.639053254440195,1968,0
1968,8,84,0,1968,0
1968,8,85,0.639053254440195,1968,0
1968,8,86,0,1968,0
1968,8,90,0,1968,0
1968,8,91,0,1968,0
1968,8,92,0,1968,0
1968,8,93,0,1968,0
1968,8,94,0,1968,0
1968,8,95,0,1968,0
1968,8,96,0,1968,0
1968,9,10,7.85952180171212,1968,0
1968,9,11,0.236686390530711,1968,0
1968,9,12,0.0535608409371262,1968,0
1968,9,13,0,1968,0
1968,9,14,0.372602750216147,1968,0
1968,9,15,1.32987313279394,1968,0
1968,9,16,1.08760317302479,1968,0
1968,9,17,2.59702078261386,1968,0
1968,9,18,2.58921187833288,1968,0
1968,9,19,0.288382476477591,1968,0
